nct_id,name,city,country
NCT03228394,Marinus Research Site,Little Rock,United States
NCT03228394,Marinus Research Site,Costa Mesa,United States
NCT05059600,Sage Investigational Site,Culver City,United States
NCT05059600,Virtual Site (recruiting nationwide),Culver City,United States
NCT05059600,Sage Investigational Site,Miramar,United States
NCT05059600,Sage Investigational Site,Pompano Beach,United States
NCT05059600,Sage Investigational Site,New York,United States
NCT05059600,Sage Investigational Site,League City,United States
NCT04355091,Istanbul University Cerrahpaşa,Istanbul,Turkey
NCT03228394,Marinus Research Site,San Diego,United States
NCT03228394,Marinus Research Site,Jacksonville,United States
NCT00436150,Women & Infants Hospital of Rhode Island,Providence,United States
NCT03228394,Marinus Research Site,Atlanta,United States
NCT03228394,Marinus Research Site,Decatur,United States
NCT03228394,Marinus Research Site,Leawood,United States
NCT03228394,Marinus Research Site,Overland Park,United States
NCT03228394,Marinus Research Site,New York,United States
NCT03228394,Marinus Research Site,Dayton,United States
NCT03228394,Marinus Research Site,Houston,United States
NCT03228394,Marinus Research Site,Irving,United States
NCT03228394,Marinus Research Site,Orem,United States
NCT03228394,Marinus Research Site,Salt Lake City,United States
NCT05382884,Women's Heath Research Institute,Vancouver,Canada
NCT03228394,Marinus Research Site,Richmond,United States
NCT03499756,Queen Elizabeth Hospital,Kowloon,Hong Kong
NCT05400161,Children's Hospital of Philadelphia,Philadelphia,United States
NCT05044546,M D Anderson Cancer Center,Houston,United States
NCT06253676,Transcultural Psychosocial Organization Nepal,Kathmandu,Nepal
NCT00402389,Women's Mental Health Program; University of Arizona; Department of Psychiatry,Tucson,United States
NCT06252155,Bartın University,Bartın,Turkey
NCT06253390,Chu Reims,Reims,France
NCT06221280,KahramanmarasSIU,Kahramanmaraş,Turkey
NCT05813782,Tokat Gaziosmanpaşa University,Tokat,Turkey
NCT06246214,Hospital de Clínicas de Porto Alegre,Porto Alegre,Brazil
NCT02213601,University of Iowa,Iowa City,United States
NCT05762133,"Northwestern University, Feinberg School of Medicine",Chicago,United States
NCT05784116,Ospedale San Raffaele,Milano,Italy
NCT05891717,Jinnah Hospital,Lahore,Pakistan
NCT04037085,UPMC Montefiore Hospital CTRC,Pittsburgh,United States
NCT00548743,Olmsted Medical Center,Rochester,United States
NCT04045132,Children's Hospital of Philadelphia,Philadelphia,United States
NCT04037085,Minhnoi C Wroble Biglan,Pittsburgh,United States
NCT04414696,Division of Research,Oakland,United States
NCT04847076,Primary Health Center San Luis,Santiago,Chile
NCT04847076,Primary Health Center Cardenal Silva Henríquez,Santiago,Chile
NCT03856931,The Hospital for Sick Children,Toronto,Canada
NCT04928742,McMaster University,Hamilton,Canada
NCT06348316,Trakya University,Edirne,Turkey
NCT06042972,Hôpital de la Porte Verte,Versailles,France
NCT04193462,Interdisciplinary Center,Herzliya,Israel
NCT04663243,Sheikh Zayed Hospital,Lahore,Pakistan
NCT00228033,Oregon Health & Science University,Portland,United States
NCT00251342,"Maternal and Child Health Centres, Department of Health",Hong Kong,China
NCT05573009,Istanbul University Istanbul Faculty of Medicine,İstanbul,Turkey
NCT02373709,KK Women's and Children's Hospital,Singapore,Singapore
NCT02614547,Sage Investigational Site,Atlanta,United States
NCT02614547,Sage Investigational Site,Worcester,United States
NCT02614547,Sage Investigational Site,Chapel Hill,United States
NCT02614547,Sage Investigational Site,Philadelphia,United States
NCT02272387,Mount Sinai Roosevelt Hospital,New York,United States
NCT06258655,Sari Ahlqvist-Björkroth,Turku,Finland
NCT03965572,"Laniado Hospital, The Betty Retter Mother & Baby Medical Center",Netanya,Israel
NCT03088319,Marion Trousselard,Brétigny-sur-Orge,France
NCT04348929,Centre Hospitalier Régional Universitaire de Nancy,Nancy,France
NCT00744328,Northwestern University Feinberg School of Medicine; Asher Center for the Study and Treatment of Depressive Disorders,Chicago,United States
NCT05399784,Women & Infants Hospital,Providence,United States
NCT02661789,"Neurobiology Research Unit, Rigshospitalet",Copenhagen,Denmark
NCT05453734,Kadriye Şahin,Istanbul,Turkey
NCT00745537,University of Pittsburgh Medical Center,Pittsburgh,United States
NCT06250933,Rahime AKSOY BULGURCU,Bilecik,Turkey
NCT00373750,Johns Hopkins Center for American Indian Health,Fort Defiance,United States
NCT04347499,Zainab Panjwani Hospital,Karachi,Pakistan
NCT00602732,Memorial Hospital,Providence,United States
NCT00373750,Johns Hopkins Center for American Indian Health,San Carlos,United States
NCT00373750,Johns Hopkins Center for American Indian Health,Tuba City,United States
NCT00373750,Johns Hopkins Center for American Indian Health,Whiteriver,United States
NCT00373750,Johns Hopkins Center for American Indian Health,Baltimore,United States
NCT04818047,University of Calgary,Calgary,Canada
NCT04376021,Project Concern International,San Diego,United States
NCT00604604,Peel Health Department,Mississauga,Canada
NCT00604604,Halton Region Health Department,Oakville,Canada
NCT00604604,Ottawa Public Health,Ottawa,Canada
NCT00604604,York Region Health Services,Richmond Hill,Canada
NCT00604604,Sudbury & District Health Unit,Sudbury,Canada
NCT00604604,Toronto Public Health,Toronto,Canada
NCT00604604,Windsor Essex County Health Unit,Windsor,Canada
NCT04818047,Maternal Newborn Child and Youth Strategic Clinical Network,Calgary,Canada
NCT05654987,Magdalena Chrzan-Dętkoś,Gdańsk,Poland
NCT04264520,Medical University of South Carolina Institute of Psychiatry,Charleston,United States
NCT04925765,University of Pittsburgh Medical Center,Pittsburgh,United States
NCT03052374,Maternal Newborn Child and Youth Strategic Clinical Network,Calgary,Canada
NCT05654987,Lyudmyla Krupelnytska,Kiev,Ukraine
NCT04845230,Operation Food Search Inc.,Saint Louis,United States
NCT05206552,Beilinson hospital,Petach tikvah,Israel
NCT00804739,University of Rochester,Rochester,United States
NCT04011592,The University of Texas Health Science Center at Houston,Houston,United States
NCT03927378,Peking University First Hospital,Beijing,China
NCT04964206,Beijing University First Hospital,Beijing,China
NCT04964206,Beijing Gynecological and obstetrical hospital,Beijing,China
NCT04964206,Ningxia Women and Children's Hospital,Yinchuan,China
NCT04964206,Taiyuan Central Hospital,Taiyuan,China
